player_id,name,web_name,team,price,ownership,transfers_in_event,transfers_out_event,form,minutes,status
1,David Raya Martín,Raya,Arsenal,6.0,36.3,33737,39334,4.0,1530,a
2,Kepa Arrizabalaga Revuelta,Arrizabalaga,Arsenal,4.1,0.4,387,705,0.0,0,a
3,Karl Hein,Hein,Arsenal,4.0,0.2,0,357,0.0,0,u
4,Tommy Setford,Setford,Arsenal,3.9,0.3,1557,779,0.0,0,a
5,Gabriel dos Santos Magalhães,Gabriel,Arsenal,6.2,12.5,2259,54986,0.0,990,d
6,William Saliba,Saliba,Arsenal,5.9,11.3,46867,9034,1.6,994,a
7,Riccardo Calafiori,Calafiori,Arsenal,5.7,10.3,44191,13314,2.8,1256,a
8,Jurriën Timber,J.Timber,Arsenal,6.5,33.6,97439,42191,2.8,1377,a
9,Jakub Kiwior,Kiwior,Arsenal,5.4,0.0,0,26,0.0,0,u
10,Myles Lewis-Skelly,Lewis-Skelly,Arsenal,5.1,1.7,1895,9535,0.4,195,a
11,Benjamin White,White,Arsenal,5.2,1.1,52,43587,3.2,280,i
13,Brayden Clarke,Clarke,Arsenal,3.8,0.5,2064,1488,0.0,0,a
14,Maldini Kacurri,Kacurri,Arsenal,3.9,0.1,0,130,0.0,0,u
15,Josh Nichols,Nichols,Arsenal,3.8,0.2,373,399,0.0,0,a
16,Bukayo Saka,Saka,Arsenal,10.3,22.2,66056,135462,5.8,1148,a
17,Martin Ødegaard,Ødegaard,Arsenal,7.8,1.6,5828,5020,2.0,534,a
18,Noni Madueke,Madueke,Arsenal,6.8,0.8,2190,6928,1.0,420,a
19,Gabriel Martinelli Silva,Martinelli,Arsenal,6.8,0.9,1789,5080,1.2,400,d
20,Leandro Trossard,Trossard,Arsenal,6.9,0.9,14384,6043,2.0,871,a
21,Declan Rice,Rice,Arsenal,7.2,24.8,299368,25076,5.2,1425,a
22,Mikel Merino Zazón,Merino,Arsenal,5.9,3.3,15920,68951,5.0,759,a
23,Fábio Ferreira Vieira,Fábio Vieira,Arsenal,5.4,0.0,0,8,0.0,0,u
24,Christian Nørgaard,Nørgaard,Arsenal,5.2,0.1,183,291,0.0,14,a
25,Ethan Nwaneri,Nwaneri,Arsenal,5.1,0.1,187,320,0.0,165,a
26,Martín Zubimendi Ibáñez,Zubimendi,Arsenal,5.2,2.2,6818,9436,1.8,1410,a
28,Ismeal Kabia,Kabia,Arsenal,4.5,0.1,0,97,0.0,0,u
29,Albert Sambi Lokonga,Sambi,Arsenal,4.5,0.1,0,48,0.0,0,u
30,Kai Havertz,Havertz,Arsenal,7.3,0.3,76,201,0.0,30,i
31,Gabriel Fernando de Jesus,G.Jesus,Arsenal,6.4,0.2,2671,3560,0.4,34,a
266,Eberechi Eze,Eze,Arsenal,7.6,14.9,20210,227330,1.0,991,a
662,Cristhian Mosquera,Mosquera,Arsenal,5.4,0.1,10,616,0.4,429,i
666,Viktor Gyökeres,Gyökeres,Arsenal,8.8,10.2,11661,28495,1.8,1015,a
700,Max Dowman,Dowman,Arsenal,4.3,0.4,1572,3352,0.0,27,i
711,Andre Harriman-Annous,Harriman-Annous,Arsenal,4.5,0.0,41,46,0.0,0,a
725,Piero Hincapié,Hincapie,Arsenal,5.5,3.0,21398,16857,5.2,563,d
759,Marli Salmon,Salmon,Arsenal,4.0,0.0,78,72,0.0,0,a
32,Emiliano Martínez Romero,Martinez,Aston Villa,5.0,3.1,7129,15304,2.8,1170,a
33,Marco Bizot,M.Bizot,Aston Villa,4.2,0.4,361,879,0.4,360,a
34,Joe Gauci,Gauci,Aston Villa,4.0,0.1,0,193,0.0,0,u
35,Filip Marschall,Marschall,Aston Villa,4.0,0.0,0,12,0.0,0,u
36,Matty Cash,Cash,Aston Villa,4.9,13.0,40698,64324,4.2,1502,a
37,Lucas Digne,Digne,Aston Villa,4.5,1.7,3164,9113,2.0,1002,a
38,Ezri Konsa Ngoyo,Konsa,Aston Villa,4.4,7.6,11669,20948,2.8,1415,a
39,Ian Maatsen,Maatsen,Aston Villa,4.2,0.5,2758,1293,1.2,521,a
40,Tyrone Mings,Mings,Aston Villa,4.3,0.6,36,1273,0.0,497,i
41,Pau Torres,Pau,Aston Villa,4.3,0.4,88,5772,2.0,952,i
42,Andrés García,A.García,Aston Villa,3.9,0.2,416,556,0.0,0,a
43,Álex Moreno Lopera,Alex Moreno,Aston Villa,4.0,1.8,0,3829,0.0,0,u
44,Lamare Bogarde,Bogarde,Aston Villa,4.0,0.6,1263,1889,0.6,320,a
45,Lino da Cruz Sousa,Sousa,Aston Villa,3.9,0.3,232,497,0.0,0,a
46,Yasin Özcan,Yasin,Aston Villa,4.0,0.1,0,170,0.0,0,u
