player_id,name,web_name,team,price,ownership,transfers_in_event,transfers_out_event,form,minutes,status
1,David Raya Martín,Raya,Arsenal,6.0,36.2,41177,48585,4.0,1530,a
2,Kepa Arrizabalaga Revuelta,Arrizabalaga,Arsenal,4.1,0.4,459,863,0.0,0,a
3,Karl Hein,Hein,Arsenal,4.0,0.2,0,434,0.0,0,u
4,Tommy Setford,Setford,Arsenal,3.9,0.3,1906,938,0.0,0,a
5,Gabriel dos Santos Magalhães,Gabriel,Arsenal,6.2,12.4,2485,62784,0.0,990,d
6,William Saliba,Saliba,Arsenal,5.9,11.4,59752,11057,1.6,994,a
7,Riccardo Calafiori,Calafiori,Arsenal,5.7,10.5,57954,16149,2.8,1256,a
8,Jurriën Timber,J.Timber,Arsenal,6.5,33.7,119889,51542,2.8,1377,a
9,Jakub Kiwior,Kiwior,Arsenal,5.4,0.0,0,27,0.0,0,u
10,Myles Lewis-Skelly,Lewis-Skelly,Arsenal,5.1,1.7,2292,11830,0.4,195,a
11,Benjamin White,White,Arsenal,5.2,1.0,57,53926,3.2,280,i
13,Brayden Clarke,Clarke,Arsenal,3.8,0.5,2486,1763,0.0,0,a
14,Maldini Kacurri,Kacurri,Arsenal,3.9,0.1,0,156,0.0,0,u
15,Josh Nichols,Nichols,Arsenal,3.8,0.2,458,486,0.0,0,a
16,Bukayo Saka,Saka,Arsenal,10.3,22.1,84751,164267,5.8,1148,a
17,Martin Ødegaard,Ødegaard,Arsenal,7.8,1.6,7276,6183,2.0,534,a
18,Noni Madueke,Madueke,Arsenal,6.8,0.8,2608,8536,1.0,420,a
19,Gabriel Martinelli Silva,Martinelli,Arsenal,6.8,0.9,1844,6767,1.2,400,d
20,Leandro Trossard,Trossard,Arsenal,6.9,1.0,19664,7164,2.0,871,a
21,Declan Rice,Rice,Arsenal,7.2,25.5,370876,29384,5.2,1425,a
22,Mikel Merino Zazón,Merino,Arsenal,5.9,3.2,19298,82214,5.0,759,a
23,Fábio Ferreira Vieira,Fábio Vieira,Arsenal,5.4,0.0,0,8,0.0,0,u
24,Christian Nørgaard,Nørgaard,Arsenal,5.2,0.1,210,338,0.0,14,a
25,Ethan Nwaneri,Nwaneri,Arsenal,5.1,0.1,216,366,0.0,165,a
26,Martín Zubimendi Ibáñez,Zubimendi,Arsenal,5.2,2.2,8389,11390,1.8,1410,a
28,Ismeal Kabia,Kabia,Arsenal,4.5,0.1,0,110,0.0,0,u
29,Albert Sambi Lokonga,Sambi,Arsenal,4.5,0.1,0,56,0.0,0,u
30,Kai Havertz,Havertz,Arsenal,7.3,0.3,90,235,0.0,30,i
31,Gabriel Fernando de Jesus,G.Jesus,Arsenal,6.4,0.2,3193,4222,0.4,34,a
266,Eberechi Eze,Eze,Arsenal,7.6,14.5,23935,269545,1.0,991,a
662,Cristhian Mosquera,Mosquera,Arsenal,5.4,0.1,12,716,0.4,429,i
666,Viktor Gyökeres,Gyökeres,Arsenal,8.8,10.2,14762,34319,1.8,1015,a
700,Max Dowman,Dowman,Arsenal,4.3,0.4,1854,3891,0.0,27,i
711,Andre Harriman-Annous,Harriman-Annous,Arsenal,4.5,0.0,56,52,0.0,0,a
725,Piero Hincapié,Hincapie,Arsenal,5.5,2.8,22633,31025,5.2,563,d
759,Marli Salmon,Salmon,Arsenal,4.0,0.0,91,93,0.0,0,a
